"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\README.md", "Markdown", 3, 0, 0, 0, 0, 3, 6
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\data\hCodeMap.json", "JSON", 0, 2100, 0, 0, 0, 1, 2101
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\exportToExcel.js", "JavaScript", 0, 0, 194, 0, 21, 65, 280
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\generateTokens.js", "JavaScript", 0, 0, 84, 0, 3, 15, 102
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\index.html", "HTML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\main.js", "JavaScript", 0, 0, 3, 0, 0, 2, 5
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\package-lock.json", "JSON", 0, 3854, 0, 0, 0, 1, 3855
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\package.json", "JSON", 0, 15, 0, 0, 0, 1, 16
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\apiCaller\api_requestor.js", "JavaScript", 0, 0, 36, 0, 3, 10, 49
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\apiCaller\data_parser.js", "JavaScript", 0, 0, 194, 0, 4, 43, 241
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\core\run.js", "JavaScript", 0, 0, 192, 0, 27, 52, 271
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\importerExporter\excel_importer.js", "JavaScript", 0, 0, 60, 0, 2, 10, 72
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\importerExporter\exportToExcel.js", "JavaScript", 0, 0, 557, 0, 63, 124, 744
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\sdsScraper\pdfparser.js", "JavaScript", 0, 0, 484, 0, 32, 56, 572
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\sdsScraper\scraper.js", "JavaScript", 0, 0, 101, 0, 4, 23, 128
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\utils\buildChemicalData.js", "JavaScript", 0, 0, 55, 0, 5, 12, 72
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\utils\hazardMapper.js", "JavaScript", 0, 0, 306, 0, 29, 44, 379
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\utils\index.js", "JavaScript", 0, 0, 54, 0, 4, 5, 63
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\utils\sleep.js", "JavaScript", 0, 0, 9, 0, 1, 2, 12
"c:\Users\cd02m\OneDrive\Desktop\Chem_Database\Chemical-Database-Generator\src\utils\textCleanup.js", "JavaScript", 0, 0, 158, 0, 5, 21, 184
"Total", "-", 3, 5969, 2487, 16, 203, 490, 9168
