ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
Aluminium hydroxide,AlH3O3,"Aluminum trihydroxide: Aluminum oxide trihydrate.
Aluminic acid
Alumina trihydrate",,Fisher,,,21645-51-2,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1236622&productDescription=aluminum-hydrox--min-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Aluminium nitrate nonahydrate,AlN3O9.9H2O,Nitric acid aluminum salt nonahydrate (Crystalline/Certified ACS),,JT Baker,,,7784-27-2,Metal-containing compound,,Danger,Causes serious eye damage,CO,https://www.fishersci.com/store/msds?partNumber=A58610&productDescription=alum-nitrate-crystal-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Bases. Reducing Agent. Acids. Heavy metals. Cyanides. Strong reducing agents.",
Aluminium nitrate nonahydrate,AlN3O9.9H2O,Nitric acid aluminum salt nonahydrate (Crystalline/Certified ACS),,JT Baker,,,7784-27-2,Metal-containing compound,,Danger,Causes serious eye damage,CO,https://www.fishersci.com/store/msds?partNumber=A58610&productDescription=alum-nitrate-crystal-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Bases. Reducing Agent. Acids. Heavy metals. Cyanides. Strong reducing agents.",
"Aluminum oxide, alpha",Al2O3,No information available,,Fisher,,,1344-28-1,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA4257136&productDescription=alum-oxid-alfaphase--g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
"Aluminum oxide, alpha",Al2O3,No information available,,Fisher,,,1344-28-1,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA4257136&productDescription=alum-oxid-alfaphase--g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
Aluminum potassium sulfate dodecahydrate,AlKO8S2.12H2O,"Alum
Potassium alum dodecahydrate",,Fisher,,,7784-24-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3628836&productDescription=alum-pot-sfat-dodcahyd-ac-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep in properly labeled containers. Incompatible Materials. Strong oxidizing agents. Metals. copper.",
Ammonium Acetate,C2H7NO2,"Acetic acid, ammonium salt
acetic acid ammonium salt
RRE756S6Q2
DTXSID5023873
CHEBI:62947",,JT Baker,,,631-61-8,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=A63710&productDescription=ammonium-acetate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases. sodium hypochlorite.",
Ammonium Acetate,C2H7NO2,Ammonium Acetate,,JT Baker,,,631-61-8,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=A63710&productDescription=ammonium-acetate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases. sodium hypochlorite.",
Ammonium bromide,H4BrN,Hydrobromic Acid Monoammoniate.,,Fluka,,,12124-97-9,Inorganic acid,,Danger,"Causes serious eye irritation
May cause drowsiness or dizziness
May damage fertility
May damage the unborn child
May cause harm to breast-fed children
Causes damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AC450650010&productDescription=ammonium-bromide-e-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,250,Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Protect from moisture. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases.,
Ammonium nitrate,H4N2O3,Nitric acid ammonium salt (Granular/Certified ACS),,Fisher,,,6484-52-2,Inorganic acid,,Warning,"May intensify fire; oxidizer
Causes serious eye irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=A676212&productDescription=ammonium-nitrate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Strong acids. Finely powdered metals. Combustible material.",
Ammonium nitrate,H4N2O3,Nitric acid ammonium salt (Granular/Certified ACS),,Fisher,,,6484-52-2,Inorganic acid,,Warning,"May intensify fire; oxidizer
Causes serious eye irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=A676212&productDescription=ammonium-nitrate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Strong acids. Finely powdered metals. Combustible material.",
Ammonium nitrate,H4N2O3,Nitric acid ammonium salt (Granular/Certified ACS),,Fisher,,,6484-52-2,Inorganic acid,,Warning,"May intensify fire; oxidizer
Causes serious eye irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=A676212&productDescription=ammonium-nitrate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Strong acids. Finely powdered metals. Combustible material.",
Ammonium oxalate monohydrate,C2H8N2O4.H2O,"Diammonium oxalate, monohydrate
Ethanedioic acid, diammonium salt monohydrate",,JT Baker,,,6009-70-7,Organic compound,,Warning,"Causes serious eye irritation
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC423365000&productDescription=ammonium-oxalate-monohyd-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases.",
Ammonium oxalate monohydrate,C2H8N2O4.H2O,"Diammonium oxalate, monohydrate
Ethanedioic acid, diammonium salt monohydrate",,JT Baker,,,6009-70-7,Organic compound,,Warning,"Causes serious eye irritation
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC423365000&productDescription=ammonium-oxalate-monohyd-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases.",
Ammonium oxalate monohydrate,C2H8N2O4.H2O,"Diammonium oxalate, monohydrate
Ethanedioic acid, diammonium salt monohydrate",,JT Baker,,,6009-70-7,Organic compound,,Warning,"Causes serious eye irritation
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC423365000&productDescription=ammonium-oxalate-monohyd-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases.",
Ammonium oxalate monohydrate,C2H8N2O4.H2O,"Diammonium oxalate, monohydrate
Ethanedioic acid, diammonium salt monohydrate",,JT Baker,,,6009-70-7,Organic compound,,Warning,"Causes serious eye irritation
Harmful if swallowed",IR,https://www.fishersci.com/store/msds?partNumber=AC423365000&productDescription=ammonium-oxalate-monohyd-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Strong bases.",
Ammonium Phosphate Dibasic (Certified ACS),H9N2O4P,"DAP
Diammonium hydrogen phosphate",,JT Baker,,,7783-28-0,Inorganic acid,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=A686500&productDescription=am-phosphate-dibasic-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. copper. Copper alloys. Bases.",
Ammonium sulfate,H8N2O4S,"Di
Sulfuric acid, diammonium salt (Granular/Crystalline/Certified ACS/Laboratory/Primary Standard)",,Fisher,,,7783-20-2,Inorganic acid,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=A702500&productDescription=ammonium-sulfate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Ammonium sulfate,H8N2O4S,"Di
Sulfuric acid, diammonium salt (Granular/Crystalline/Certified ACS/Laboratory/Primary Standard)",,Fisher,,,7783-20-2,Inorganic acid,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=A702500&productDescription=ammonium-sulfate-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Barium carbonate,BaCO3,No information available,,Mallinckrodt ,,,513-77-9,Metal-containing compound,,Warning,Harmful if swallowed,IR,https://www.fishersci.com/store/msds?partNumber=AA14452A1&productDescription=barium-carbonate-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Acids.",
Barium peroxide,BaO2,No information available,,JT Baker,,,1304-29-6,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Causes severe skin burns and eye damage
May cause respiratory irritation
Harmful if swallowed","OX, CO, IR",https://www.fishersci.com/store/msds?partNumber=AC350410250&productDescription=barium-peroxide-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Do not store near combustible materials. Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Acids. Bases. Organic materials. Acid anhydrides. Reducing Agent. Finely powdered metals. Strong reducing agents. Combustible material.",
Barium diphenylaminesulfonate,C24H20BaN2O6S2,Diphenylamine-4-sulfonic acid barium salt,,Fisher,,,6211-24-1,Metal-containing compound,,Warning,Harmful if swallowed,IR,https://www.fishersci.com/store/msds?partNumber=AC401680500&productDescription=barium-diphenylaminesulf-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,g,,,25,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids.",
Barium hydroxide octahydrate,H2BaO2.8H2O,No information available,,JT Baker,,,12230-71-6,Metal-containing compound,,Danger,"Causes severe skin burns and eye damage
Harmful if swallowed","CO, IR",https://www.fishersci.com/store/msds?partNumber=AA14499A1&productDescription=barm-hydrox-octhyd-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-2,lb,,,0.5,"Keep container tightly closed. Keep in a dry, cool and well-ventilated place. Keep under nitrogen. Corrosives area. Incompatible Materials. Acids. Metals. Aluminium.",
Ferrous sulfate heptahydrate,FeSO4.7H2O,Iron (II) sulfate heptahydrate (Crystalline/Certified ACS/USP/FCC),,Sigma-Aldrich,,,7782-63-0,Metal-containing compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation",IR,https://www.fishersci.com/store/msds?partNumber=I146500&productDescription=ferrous-sulfate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases.",
